Empresa,Prioridade,Status,Nota
Western Asset Brasil,3,✅ confirmado,Workday via Franklin Templeton — sem vaga no Brasil agora
Franklin Templeton Brasil,3,✅ confirmado,Mesmo board Workday do Western Asset
Schroders Brasil,3,⚙️ candidato_fase_2,"SelectMinds, sem vagas do Brasil localizadas"
Pátria Investimentos,1,⚙️ candidato_fase_2 (+ manual),"Teamtailor geral; estágio via Across já capturado manualmente em data/manual.json"
Vinci Partners,1,✅ confirmado,Gupy vincipartners
Softbank Latin America Fund,1,🚫 sem_ats_publico,Portal lista vagas do portfólio; não do fundo em si
Monashees,1,⛔ bloqueado_ia,robots.txt bloqueia bots de IA
Kaszek Ventures,1,🚫 sem_ats_publico,Board é do portfólio; não da gestora
Canary,1,🚫 sem_ats_publico,
Advent International Brasil,2,✅ confirmado,Workday — sem vaga no Brasil agora
Astella Investimentos,2,🚫 sem_ats_publico,Só portfólio
Maya Capital,2,🚫 sem_ats_publico,
Valor Capital Group,2,🚫 sem_ats_publico,Board é do portfólio
Carlyle Brasil,2,⚙️ candidato_fase_2,"careers.carlyle.com bloqueado (403), ATS não confirmado"
Igah Ventures,3,🚫 sem_ats_publico,
DOMO Invest,3,✅ confirmado,"SmartRecruiters — sem estágio/trainee agora"
KKR Brasil,3,⚙️ candidato_fase_2,"Portal próprio, sem vagas do Brasil localizadas"
Warburg Pincus Brasil,3,⚙️ candidato_fase_2,"Portal próprio, sem vagas do Brasil localizadas"
Actis Brasil,3,✅ confirmado (via General Atlantic),Adquirida pela General Atlantic em 2024; cai no board Greenhouse já coberto
Bozano Investimentos,3,🚫 sem_ats_publico,
GP Investimentos,3,🚫 sem_ats_publico,Recrutamento só por e-mail
Aqua Capital,3,🚫 sem_ats_publico,
Upload Ventures,3,🚫 sem_ats_publico,
Alexia Ventures,3,🚫 sem_ats_publico,Só e-mail de contato
Bamboo Capital,3,🚫 sem_ats_publico,
Performa Investimentos,3,🚫 sem_ats_publico,Não identificado com confiança
PCP Capital Partners,3,🚫 sem_ats_publico,
Kinea Real Estate,1,✅ confirmado,Mesmo board do Kinea
Vinci Real Estate,1,✅ confirmado,Mesmo board da Vinci Partners
BTG Pactual Real Estate,1,✅ confirmado,Mesmo board do BTG
XP Properties,1,✅ confirmado,Mesmo board da XP
RBR Asset Management,2,⚙️ candidato_fase_2,"Quickin — API existe, endpoint exato não mapeado"
TRX Real Estate,2,🚫 sem_ats_publico,"Site existe mas sem link de carreiras (baixa confiança, sem WebSearch disponível)"
Hedge Investments,2,🚫 sem_ats_publico,
Pátria Real Estate,2,⚙️ candidato_fase_2,Mesmo board da Pátria
Brookfield Asset Management Brasil,2,✅ confirmado,Workday — sem vaga no Brasil agora
JS Real Estate,2,🚫 sem_ats_publico,Nome ambíguo; não identificado com confiança
CSHG Real Estate,2,⚙️ candidato_fase_2,Fundo transferido para gestão da Pátria + administração da Genial em 2024
GLP Capital Partners Brasil,3,🚫 sem_ats_publico,Rebatizada Marq Logistics no Brasil
Bresco Investimentos,3,🚫 sem_ats_publico,
Mauá Capital,3,⚙️ candidato_fase_2,"Board Gupy jive (pós-fusão JiveMauá) existe mas parece abandonado"
Cyrela,3,✅ confirmado,Gupy cyrela (com filtro de área)
JHSF,3,✅ confirmado,Gupy jhsf (com filtro de área)
Multiplan,3,⚙️ candidato_fase_2 (+ manual),Estágio via Across já capturado manualmente em data/manual.json
Iguatemi,3,⚙️ candidato_fase_2,"Portal próprio, não é Gupy, ATS não confirmado"
Eztec,3,✅ confirmado,Gupy eztec (com filtro de área)
Tegra,3,✅ confirmado,Gupy tegraincorporadora (com filtro de área)
BTG Pactual Research,1,✅ confirmado,Mesmo board do BTG
XP Research,1,✅ confirmado,Mesmo board da XP
Itaú BBA Research,1,✅ confirmado,Mesmo board do Itaú
Bradesco BBI Research,1,⚙️ candidato_fase_2,Mesmo microsite Eureca do Bradesco
Goldman Sachs Research,1,⚙️ candidato_fase_2,Mesma plataforma higher.gs.com
JPMorgan Research,2,✅ confirmado,Mesmo board Oracle Cloud do JPMorgan Brasil
Genial Research,2,✅ confirmado,Mesmo board da Genial
Inter Research,2,✅ confirmado,Mesmo board do Banco Inter
UBS BB Research,2,⚙️ candidato_fase_2,Mesmo hotsite Cia de Talentos do UBS BB
Safra Research,2,✅ confirmado,Mesmo board do Safra
Empiricus Research,3,✅ confirmado,Aparece dentro do board do BTG
Nord Research,3,🚫 sem_ats_publico,
Levante Investimentos,3,🚫 sem_ats_publico,
Suno Research,3,✅ confirmado (ressalva),Gupy sunojobs — feed defasado desde 2024
Eleven Financial,3,🚫 sem_ats_publico,
Guide Investimentos Research,3,🚫 sem_ats_publico,Adquirida pelo Safra em 2024
Nubank,1,✅ confirmado,Greenhouse nubank (programa sazonal)
Banco Inter,1,✅ confirmado,Greenhouse inter
Stone,1,✅ confirmado,Greenhouse stone
McKinsey & Company Brasil,1,⚙️ candidato_fase_2,"Plataforma própria, ATS não identificado"
Bain & Company Brasil,1,⚙️ candidato_fase_2,"Plataforma própria, ATS não identificado"
Boston Consulting Group Brasil,1,⚙️ candidato_fase_2,"Phenom People (BCG1US) — SPA, endpoint de API não encontrado"
C6 Bank,2,✅ confirmado,Greenhouse c6bank
Creditas,2,✅ confirmado,Gupy creditas
PagSeguro / PagBank,2,✅ confirmado,Gupy pagseguro
PwC Brasil (Deals),2,⚙️ candidato_fase_2,"Portal próprio, ATS não confirmado"
Deloitte Brasil (Financial Advisory),2,⚙️ candidato_fase_2,Usa Avature
KPMG Brasil (Deal Advisory),2,⛔ bloqueado_ia,kpmg.inhire.app bloqueia ClaudeBot/GPTBot
EY Brasil (Strategy and Transactions),2,⚙️ candidato_fase_2,"Portal próprio, ATS não confirmado"
Oliver Wyman Brasil,2,⚙️ candidato_fase_2,"Phenom People (mmc.phenompeople.com) — mesmo problema do BCG"
Neon,3,✅ confirmado,Lever — sem vaga de estágio/trainee agora
Méliuz,3,✅ confirmado,Gupy meliuz
Conta Simples,3,✅ confirmado,Gupy contasimples
Stark Bank,3,✅ confirmado (ressalva),Gupy stark — feed moderadamente defasado
Dock,3,✅ confirmado (ressalva),Gupy dock — feed defasado
Conductor,3,⚙️ candidato_fase_2,Gupy abandonado desde 2021; fundiu com Dock/Muxi
Klavi,3,⛔ bloqueado_ia,klavi.inhire.app bloqueia ClaudeBot/GPTBot
Hash (Plataforma),3,⚙️ candidato_fase_2,"README do GitHub aponta pra Lever, mas board foi desativado (404)"
Roland Berger Brasil,3,⚙️ candidato_fase_2,"Portal próprio, ATS não confirmado"
FTI Consulting Brasil,3,✅ confirmado,Workday — sem vaga no Brasil agora
Alvarez & Marsal Brasil,3,⚙️ candidato_fase_2,Portal global + microsite específico do Brasil
